                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.75427,                  2.802,                 1.2242,                0.68939,                0.63889,                0.76574,                0.72265,                0.42768,                 1.6417,                0.83324,                 0.0829,                 0.0019,                 0.0019
                      1,                0.63164,                 1.2175,                  1.108,                0.95326,                      1,                  0.995,                0.93795,                0.39517,                0.52626,                0.80535,               0.064861,              0.0038614,              0.0038614
                      2,                0.57007,                0.78123,                 1.0172,                0.91633,                0.98747,                  0.995,                0.91932,                0.40858,                0.40335,                0.82222,               0.046783,              0.0057832,              0.0057832
                      3,                0.60778,                 0.7002,                 1.0229,                0.92122,                 0.9371,                  0.995,                0.91109,                0.42203,                0.64301,                0.81446,               0.028665,              0.0076654,              0.0076654
                      4,                0.57689,                0.64278,                 1.0158,                  0.937,                0.96282,                  0.995,                0.91318,                0.43048,                0.48662,                0.82118,               0.010508,               0.009508,               0.009508
                      5,                0.61468,                 0.6283,                   1.06,                0.96668,                0.98017,                  0.995,                0.89939,                0.50415,                0.46421,                0.87138,               0.009505,               0.009505,               0.009505
                      6,                0.65091,                0.59929,                 1.0462,                0.97225,                      1,                  0.995,                0.91423,                0.49035,                0.37676,                0.86631,               0.009505,               0.009505,               0.009505
                      7,                0.60775,                0.55108,                 1.0238,                0.93563,                0.93017,                0.96062,                0.86512,                0.51202,                0.58641,                0.85685,               0.009406,               0.009406,               0.009406
                      8,                0.62629,                0.53883,                 1.0325,                0.94772,                 0.9725,                  0.995,                0.91672,                0.47116,                0.42394,                0.87808,               0.009307,               0.009307,               0.009307
                      9,                0.61908,                0.50838,                 1.0391,                0.94322,                0.98978,                  0.995,                0.91135,                0.43763,                0.34616,                0.83851,               0.009208,               0.009208,               0.009208
                     10,                0.63924,                0.50902,                 1.0496,                0.93866,                0.96553,                  0.995,                0.92898,                0.46301,                0.40945,                0.84924,               0.009109,               0.009109,               0.009109
                     11,                0.60527,                0.49702,                 1.0236,                0.96904,                      1,                  0.995,                0.94617,                 0.4449,                0.51026,                0.84981,                0.00901,                0.00901,                0.00901
                     12,                0.59221,                0.51425,                 1.0199,                0.97268,                0.96911,                  0.995,                0.88842,                0.45163,                0.37884,                0.85424,               0.008911,               0.008911,               0.008911
                     13,                0.59966,                0.50548,                 1.0342,                0.96795,                0.98654,                  0.995,                0.93451,                0.41003,                0.29657,                0.86531,               0.008812,               0.008812,               0.008812
                     14,                0.58519,                0.47336,                  1.022,                0.96764,                      1,                  0.995,                0.92187,                0.37715,                0.38994,                0.82848,               0.008713,               0.008713,               0.008713
                     15,                0.57313,                0.46429,                  1.013,                0.96965,                      1,                  0.995,                0.91559,                0.45395,                0.50926,                0.86517,               0.008614,               0.008614,               0.008614
                     16,                0.58226,                0.46512,                 1.0246,                0.93129,                      1,                  0.995,                  0.864,                0.48291,                0.37673,                0.89265,               0.008515,               0.008515,               0.008515
                     17,                0.57694,                0.45847,                 1.0288,                0.94083,                0.98945,                  0.995,                0.91283,                0.47345,                0.40398,                0.94273,               0.008416,               0.008416,               0.008416
                     18,                 0.5927,                0.48903,                 1.0244,                0.96021,                      1,                  0.995,                0.91383,                 0.4472,                0.35615,                0.86978,               0.008317,               0.008317,               0.008317
                     19,                0.57857,                0.46465,                 1.0086,                0.97893,                      1,                  0.995,                0.92766,                0.48488,                0.32629,                0.87517,               0.008218,               0.008218,               0.008218
                     20,                0.58499,                0.45672,                 1.0295,                0.96716,                      1,                  0.995,                0.84597,                0.53399,                0.35192,                0.96035,               0.008119,               0.008119,               0.008119
                     21,                0.56173,                0.43943,                 1.0126,                0.93772,                0.98473,                  0.995,                0.90659,                 0.4276,                0.33334,                 0.8276,                0.00802,                0.00802,                0.00802
                     22,                0.57187,                0.45336,                 1.0146,                0.94526,                0.96384,                  0.995,                0.92106,                0.38781,                0.35955,                 0.8238,               0.007921,               0.007921,               0.007921
                     23,                0.56804,                0.44839,                 1.0202,                0.97532,                      1,                  0.995,                0.92933,                0.43735,                0.29923,                 0.8487,               0.007822,               0.007822,               0.007822
                     24,                0.55457,                0.43177,                 1.0236,                0.97981,                0.99957,                  0.995,                0.90584,                0.44926,                0.28158,                0.84967,               0.007723,               0.007723,               0.007723
                     25,                0.54084,                0.41227,                 1.0071,                0.96507,                0.99708,                  0.995,                0.92411,                0.45111,                0.30393,                0.84862,               0.007624,               0.007624,               0.007624
                     26,                0.54991,                0.41876,                 1.0081,                0.97354,                      1,                  0.995,                0.93277,                0.43635,                0.26871,                0.85657,               0.007525,               0.007525,               0.007525
                     27,                0.55138,                0.41205,                  1.006,                 0.9722,                      1,                  0.995,                0.91325,                0.46316,                0.26762,                0.86162,               0.007426,               0.007426,               0.007426
                     28,                0.51821,                0.41218,                0.98908,                0.97185,                      1,                  0.995,                0.92171,                0.44549,                0.26957,                0.86451,               0.007327,               0.007327,               0.007327
                     29,                0.53303,                0.40906,                 1.0018,                 0.9711,                0.98418,                  0.995,                0.90533,                0.48231,                0.30898,                0.87573,               0.007228,               0.007228,               0.007228
                     30,                0.53925,                0.41336,                 1.0217,                0.97602,                0.97451,                  0.995,                0.90614,                0.45278,                0.31446,                0.86088,               0.007129,               0.007129,               0.007129
                     31,                0.52594,                0.40229,                0.98997,                0.97695,                0.96206,                  0.995,                0.90937,                0.46266,                0.31095,                 0.8606,                0.00703,                0.00703,                0.00703
                     32,                0.53318,                0.40977,                 1.0048,                0.95835,                0.96748,                  0.995,                0.92831,                0.40647,                0.32406,                0.83726,               0.006931,               0.006931,               0.006931
                     33,                0.50453,                0.38848,                0.97947,                0.97127,                      1,                  0.995,                0.92577,                0.43314,                0.25957,                0.83442,               0.006832,               0.006832,               0.006832
                     34,                0.51163,                0.38436,                0.99779,                0.96671,                      1,                  0.995,                0.91808,                0.40827,                0.31318,                0.81701,               0.006733,               0.006733,               0.006733
                     35,                0.53172,                0.40518,                0.99555,                0.96753,                      1,                  0.995,                0.91797,                0.39624,                0.23986,                0.81289,               0.006634,               0.006634,               0.006634
                     36,                0.50888,                0.39079,                0.98116,                0.98186,                0.96962,                  0.995,                0.93548,                0.38677,                0.26367,                0.82701,               0.006535,               0.006535,               0.006535
                     37,                0.49199,                0.38257,                0.97532,                0.97565,                      1,                  0.995,                0.92037,                0.41949,                0.26481,                0.83293,               0.006436,               0.006436,               0.006436
                     38,                0.50696,                0.38908,                0.98579,                 0.9751,                      1,                  0.995,                0.93896,                0.39492,                0.24796,                0.83137,               0.006337,               0.006337,               0.006337
                     39,                0.49517,                0.37993,                0.98225,                0.97631,                0.99137,                  0.995,                0.91901,                0.37932,                0.24741,                   0.82,               0.006238,               0.006238,               0.006238
                     40,                0.47041,                0.35916,                0.95984,                0.98185,                      1,                  0.995,                0.92019,                0.42544,                0.22952,                0.83934,               0.006139,               0.006139,               0.006139
                     41,                0.47544,                0.35308,                0.96894,                0.98147,                      1,                  0.995,                0.91856,                 0.4035,                0.21761,                0.82669,                0.00604,                0.00604,                0.00604
                     42,                0.48689,                0.35092,                0.98212,                0.97851,                      1,                  0.995,                0.93337,                0.39717,                0.24905,                 0.8244,               0.005941,               0.005941,               0.005941
                     43,                0.48161,                0.35313,                0.97926,                0.96826,                      1,                  0.995,                 0.9309,                0.37952,                0.22751,                0.82871,               0.005842,               0.005842,               0.005842
                     44,                0.48687,                0.35877,                0.99242,                0.93674,                0.99045,                  0.995,                0.92541,                0.39501,                0.23237,                0.83062,               0.005743,               0.005743,               0.005743
                     45,                0.48805,                0.34991,                0.97476,                0.97567,                      1,                  0.995,                0.92855,                0.39214,                0.24978,                0.83031,               0.005644,               0.005644,               0.005644
                     46,                0.46619,                0.34258,                0.96875,                 0.9808,                      1,                  0.995,                0.92643,                0.39002,                0.21593,                0.83121,               0.005545,               0.005545,               0.005545
                     47,                 0.4788,                0.35542,                0.97055,                0.97833,                0.98003,                  0.995,                0.95236,                 0.3848,                0.24039,                0.82354,               0.005446,               0.005446,               0.005446
                     48,                0.45316,                0.34157,                0.96019,                0.97686,                      1,                  0.995,                0.95466,                 0.3449,                0.23595,                 0.8081,               0.005347,               0.005347,               0.005347
                     49,                0.46251,                0.33566,                 0.9746,                0.98332,                      1,                  0.995,                0.93184,                0.39585,                0.21176,                0.83295,               0.005248,               0.005248,               0.005248
                     50,                0.46758,                0.33585,                 0.9742,                0.97986,                      1,                  0.995,                0.93682,                0.42152,                0.22603,                0.81869,               0.005149,               0.005149,               0.005149
                     51,                0.45191,                0.33037,                0.95717,                0.98058,                0.98954,                  0.995,                0.91368,                0.41755,                0.24799,                0.82768,                0.00505,                0.00505,                0.00505
                     52,                 0.4645,                0.34242,                0.96046,                0.97061,                0.99144,                  0.995,                0.91302,                0.40825,                0.23792,                0.82069,               0.004951,               0.004951,               0.004951
                     53,                0.45467,                0.33744,                0.94747,                0.96287,                      1,                  0.995,                0.90883,                 0.4799,                0.26497,                 0.8465,               0.004852,               0.004852,               0.004852
                     54,                0.46886,                0.34264,                0.97016,                0.98151,                      1,                  0.995,                0.91052,                0.42338,                0.21592,                 0.8414,               0.004753,               0.004753,               0.004753
                     55,                0.46419,                0.33841,                0.96695,                0.97873,                      1,                  0.995,                0.90154,                0.42302,                0.21695,                0.83905,               0.004654,               0.004654,               0.004654
                     56,                0.44764,                0.32522,                0.96182,                0.97854,                      1,                  0.995,                0.93132,                0.38267,                0.21446,                0.82782,               0.004555,               0.004555,               0.004555
                     57,                0.44751,                0.32442,                 0.9499,                0.98156,                      1,                  0.995,                 0.9228,                0.40859,                0.22801,                0.84977,               0.004456,               0.004456,               0.004456
                     58,                0.44957,                0.32714,                 0.9493,                0.97243,                      1,                  0.995,                0.91564,                0.44211,                0.21985,                0.86302,               0.004357,               0.004357,               0.004357
                     59,                0.41986,                 0.3145,                0.94431,                0.98323,                      1,                  0.995,                0.91133,                0.42522,                0.22237,                 0.8541,               0.004258,               0.004258,               0.004258
                     60,                0.44424,                0.31902,                0.97554,                0.98806,                      1,                  0.995,                0.93825,                0.37115,                0.20806,                 0.8171,               0.004159,               0.004159,               0.004159
                     61,                0.42321,                 0.3145,                0.94365,                0.98989,                      1,                  0.995,                0.94425,                0.36981,                0.20465,                0.81185,                0.00406,                0.00406,                0.00406
                     62,                0.42157,                0.29813,                0.95108,                0.98252,                      1,                  0.995,                0.94505,                0.38013,                0.20628,                0.81043,               0.003961,               0.003961,               0.003961
                     63,                0.42935,                0.31099,                 0.9555,                0.98463,                      1,                  0.995,                0.93934,                0.39585,                0.21336,                0.82425,               0.003862,               0.003862,               0.003862
                     64,                0.42754,                0.31588,                0.94174,                0.98072,                      1,                  0.995,                0.94426,                0.38946,                0.22917,                  0.821,               0.003763,               0.003763,               0.003763
                     65,                0.42228,                0.30703,                0.94651,                0.98481,                      1,                  0.995,                0.92697,                 0.4288,                0.20489,                0.82888,               0.003664,               0.003664,               0.003664
                     66,                0.41567,                0.30606,                0.94275,                0.98105,                      1,                  0.995,                 0.9176,                0.41347,                0.22919,                0.81807,               0.003565,               0.003565,               0.003565
                     67,                0.42479,                0.30907,                0.94341,                0.96881,                      1,                  0.995,                0.92217,                0.42742,                0.21657,                0.82036,               0.003466,               0.003466,               0.003466
                     68,                0.40705,                0.29061,                 0.9327,                 0.9806,                      1,                  0.995,                0.92447,                0.41228,                0.20329,                0.81462,               0.003367,               0.003367,               0.003367
                     69,                0.41293,                0.29111,                0.95094,                0.97781,                      1,                  0.995,                0.93224,                0.39855,                0.19161,                0.81129,               0.003268,               0.003268,               0.003268
                     70,                0.41956,                0.29034,                0.94194,                0.98841,                      1,                  0.995,                0.94355,                0.37058,                0.19264,                0.80195,               0.003169,               0.003169,               0.003169
                     71,                0.38889,                0.27585,                0.92645,                  0.987,                      1,                  0.995,                0.93244,                0.39268,                0.18852,                0.80578,                0.00307,                0.00307,                0.00307
